Section ID,Codigo Curso,Tipo Sesion,Liga,Ciclo,Profesor ID,Aula ID,Franjas Horarias,Alumnos Proyectados
1787,ISIA118,P,1,8,366,88,"95,96",30
1567,HUMA900,T,1,1,368,78,48,40
1569,HUMA900,P,1,1,368,74,"88,89",40
1568,HUMA900,T,2,1,368,75,96,40
1596,ADMI779,T,3,2,369,75,"37,38",48
1594,ADMI779,T,1,2,369,74,"42,43",49
1595,ADMI779,T,2,2,369,77,"46,47",48
1599,ADMI779,P,2,2,369,77,"56,57,58,59",48
1598,ADMI779,P,1,2,370,81,"43,44,45,46",49
1600,ADMI779,P,3,2,370,71,"55,56,57,58",48
1555,CIEN753,T,1,1,372,71,"23,24",40
1575,CIEN754,P,2,2,372,69,"34,35,36,37",53
1556,CIEN753,T,2,1,372,72,"40,41",40
1557,CIEN753,P,1,1,372,73,"43,44,45,46",40
1558,CIEN753,P,2,1,372,68,"59,60,61,62",40
1572,CIEN754,T,2,2,373,75,"33,34",53
1571,CIEN754,T,1,2,373,72,"37,38",53
1573,CIEN754,T,3,2,373,75,"39,40",53
1576,CIEN754,P,3,2,373,71,"60,61,62,63",53
1574,CIEN754,P,1,2,373,73,"87,88,89,90",53
1577,HUMA1180,P,1,2,374,68,"6,7,8,9",60
1560,HUMA1179,T,2,1,374,73,"26,27",40
1578,HUMA1180,P,2,2,374,74,"28,29,30,31",60
1559,HUMA1179,T,1,1,374,77,"34,35",40
1562,HUMA1179,P,2,1,374,83,"42,43,44,45",40
1561,HUMA1179,P,1,1,374,70,"56,57,58,59",40
1579,HUMA1180,P,3,2,374,75,"91,92,93,94",60
1731,HUMA1185,T,2,6,375,74,"40,41",50
1730,HUMA1185,T,1,6,375,82,"46,47",50
1733,HUMA1185,P,2,6,375,71,"89,90",50
1732,HUMA1185,P,1,6,375,70,"94,95",50
1641,HUMA1182,T,1,3,376,73,32,27
1642,HUMA1182,T,2,3,376,84,39,27
1643,HUMA1182,T,3,3,376,83,47,26
1645,HUMA1182,P,2,3,376,92,"51,52",27
1644,HUMA1182,P,1,3,376,72,"79,80",27
1646,HUMA1182,P,3,3,376,69,"87,88",26
1816,ISIA131,P,1,10,377,89,"8,9,10,11",20
1817,ISIA131,L,1,10,377,48,"33,34,35,36",20
1614,CIEN755,T,1,3,378,68,"34,35",35
1542,CIEN752,T,1,1,378,68,"37,38",40
1544,CIEN752,P,1,1,378,68,"39,40,41,42",40
1615,CIEN755,T,2,3,378,71,"45,46",34
1543,CIEN752,T,2,1,378,73,"47,48",40
1617,CIEN755,P,2,3,378,73,"55,56,57,58",34
1616,CIEN755,P,1,3,378,71,"65,66,67,68",35
1545,CIEN752,P,2,1,378,69,"92,93,94,95",40
1656,HUMA1184,T,2,4,379,71,"28,29",60
1658,HUMA1184,P,2,4,379,70,"33,34",60
1655,HUMA1184,T,1,4,379,68,"47,48",60
1657,HUMA1184,P,1,4,379,73,"91,92",60
